,text,news_link,outlet,topic,type,label_bias,label_opinion,biased_words,label
45,"A diverse group of protesters cheered to hip hop music and tried to argue about police brutality with police officers in riot gear, who occasionally lunged into crowds to pluck people out for arrest after bottles and other projectiles were thrown.",https://www.reuters.com/article/us-minneapolis-police-protests-factbox-idCAKBN2352VY?taid=5ed23930842569000110ba53&utm_campaign=trueAnthem%3A+Trending+Content&utm_medium=trueAnthem&utm_source=twitter,Reuters,black lives matter,center,Biased,Entirely factual,[],1
46,"A divided federal appeals court on Tuesday rejected Planned Parenthood’s constitutional challenge to an Ohio law depriving the organization of state funding because it performs abortions, handing a victory to anti-abortion advocates.",https://www.reuters.com/article/us-usa-abortion-ohio/appeals-court-says-ohio-may-withhold-planned-parenthood-funding-idUSKBN1QT23V?feedType=RSS&feedName=domesticNews,Reuters,abortion,center,Non-biased,Entirely factual,[],0
48,"A family-run network of pro-gun groups is behind five of the largest Facebook groups dedicated to protesting the shelter-in-place restrictions, according to an NBC News analysis of Facebook groups and website registration information.",https://www.nbcnews.com/tech/social-media/conservative-activist-family-behind-grassroots-anti-quarantine-facebook-events-n1188021,MSNBC,vaccines,left,Non-biased,Entirely factual,[],0
49,"A federal judge dismissed the United States women’s soccer team’s bid for equal pay on Friday, rejecting claims the players had been underpaid in a crushing defeat for the reigning world champions.",https://www.breitbart.com/news/judge-rules-against-us-womens-soccer-team-in-equal-pay-case-2/,Breitbart,sport,right,Non-biased,Somewhat factual but also opinionated,['crushing'],0
50,"A federal judge in Tucson, Arizona delivered a blow Monday to the Trump administration’s strategy of criminalizing humanitarian aid work along the southern border with her decision to overturn the convictions of four volunteers on religious freedom grounds.",https://www.alternet.org/2020/02/judge-reverses-profoundly-disturbing-convictions-of-border-humanitarians/,Alternet,immigration,left,Biased,Somewhat factual but also opinionated,['blow'],1
51,A federal judge on Monday overturned the Trump administration’s approval of a plan by the state of New Hampshire to impose work requirements on people seeking to obtain benefits from the Medicaid health insurance program.,https://www.reuters.com/article/us-usa-healthcare-medicaid-new-hampshire/u-s-judge-blocks-medicaid-work-requirements-in-new-hampshire-idUSKCN1UO21R,Reuters,universal health care,center,Non-biased,Entirely factual,[],0
52,"A federal judge on Wednesday temporarily blocked a Trump administration order that allowed state and local governments to refuse the resettling of refugees, finding the policy likely “unlawful.”",https://www.nbcnews.com/news/us-news/federal-judge-blocks-trump-order-allowing-local-governments-refuse-refugees-n1116426?cid=public-rss_20200115,MSNBC,immigration,left,Non-biased,Entirely factual,[],0
53,"A federal visa program allowing international students to work at firms in the United States after graduation appears to have been exploited by fake companies providing false employment verifications, according to an NBC News/NBC Bay Area investigation.",https://www.nbcnews.com/politics/immigration/thousands-foreign-students-u-s-student-visas-may-have-worked-n1109286?cid=public-rss_20200102,MSNBC,immigration,left,Non-biased,Entirely factual,[],0
54,"A fifth of U.S. trans people reported discrimination when seeking a home, and more than one in 10 say they have been evicted for being trans, according to the National Center for Transgender Equality.",https://www.reuters.com/article/us-usa-lgbt-transgender-trfn/calls-to-support-black-trans-women-rise-amid-u-s-protests-idUSKBN23F30A?rpc=401&,Reuters,black lives matter,center,Non-biased,Entirely factual,[],0
55,"A firefighter was killed by a falling tree while battling the Australian wildfire crisis overnight, and the prime minister on Sunday said his government was adapting and building resilience to the fire danger posed by climate change.",https://eu.usatoday.com/story/news/world/2020/01/11/australia-wildfires-firefighter-killed-death-toll-least-27/4445757002/,USA Today,environment,center,Non-biased,Entirely factual,[],0
57,"A former North Korean diplomat who staged a high-profile defection to the South on Saturday urged an old colleague who has gone missing in Italy to defect to Seoul, following a report that he was seeking asylum in the United States.",http://feeds.reuters.com/~r/Reuters/worldNews/~3/W6R1JElryi4/former-north-korean-diplomat-urges-missing-colleague-in-italy-to-go-to-south-korea-not-u-s-idUSKCN1OZ05R,Reuters,international-politics-and-world-news,center,Non-biased,Entirely factual,[],0
59,"A gaggle of representatives from theologically liberal denominations recently issued a statement against Christian nationalism in America, claiming that it threatens both American democracy and the ability of our religious communities to live in peace.",https://thefederalist.com/2019/08/13/need-christian-nationalism-religious-neutrality-failed/,Federalist,white-nationalism,right,Non-biased,Entirely factual,[],0
60,"A Gallup poll reports that women are still more likely to do laundry, clean the house, do grocery shopping, prepare meals, wash dishes and make decisions about furniture and decorations – even among younger generations who are reportedly more egalitarian as ever.",https://eu.usatoday.com/story/news/nation/2020/02/14/gender-equality-millennial-men-still-dont-do-laundry-house-cleaning/4748860002/,USA Today,gender,center,Non-biased,Entirely factual,[],0
62,"A good conclusion to draw might be that the charity of the top 0.1 percent and of corporations both are vastly overstated and not even fractionally as useful as simply taxing them at the same effective rate as the rest of us pay, so maybe we should get on with that already.",https://www.alternet.org/2020/01/richest-man-in-the-world-mocked-for-donating-690000-to-fight-australian-fires-as-elton-john-pledges-1000000/,Alternet,middle-class,left,Biased,Expresses writer’s opinion,['vastly'],1
63,"A group of 20 wealthy individuals – including left-wing financier George Soros – signed a letter Monday, begging for a wealth tax and arguing that the U.S has a “moral, ethical, and economic responsibility” to tax wealthy individuals more.",https://www.breitbart.com/politics/2019/06/24/soros-linked-group-of-wealthy-individuals-pen-letter-begging-for-a-moderate-wealth-tax/,Breitbart,middle-class,right,Non-biased,Entirely factual,[],0
64,A group of artists climbed ladders up one of the many blast walls snaking through the Afghan capital Kabul this week to paint a mural of George Floyd in solidarity with the anti-racism protests kindled by his death in police custody.,https://www.reuters.com/article/us-minneapolis-police-protests-afghanist/afghan-artists-paint-mural-on-blast-wall-in-tribute-to-george-floyd-idUSKBN23I2NA,Reuters,black lives matter,center,Non-biased,Entirely factual,[],0
65,"A group of House Republicans gathered Tuesday on Capitol Hill to express their anger over two bills proposed by their Democratic colleagues that, if passed, would drastically tighten federal gun laws.",https://www.foxnews.com/politics/house-republicans-denounce-democratic-move-to-tighten-gun-laws,Federalist,gun-control,right,Non-biased,Entirely factual,['drastically'],0
66,"A group of Idaho politicians, including Lt. Gov. Janice McGeachin, appeared in a video in October urging the state to limit restrictions. Sitting in a truck with an American flag draped over the side, McGeachin placed a gun over a Bible. ",https://www.alternet.org/2020/12/19/,Alternet,gun control,left,Non-biased,Entirely factual,[],0
68,"A group of people carrying a white nationalist flag were caught on camera Saturday attempting to record a video in front of the Emmett Till memorial in Sumner, Mississippi.",https://www.nbcnews.com/news/nbcblk/white-nationalists-caught-trying-film-video-front-emmett-till-memorial-n1075776,MSNBC,white-nationalism,left,Non-biased,Entirely factual,[],0
69,A Guatemalan mom who says she sustained severe chemical burns and was sexually assaulted in front of her young daughter during a kidnapping in Mexico is asking the U.S. government to let her into the country while her asylum case plays out.,https://www.nbcnews.com/news/latino/after-chemical-attack-kidnapping-migrant-mom-tries-again-enter-u-n1144916?cid=public-rss_20200228,MSNBC,immigration,left,Non-biased,Entirely factual,[],0
70,"A gunman opened fire at the Molson Coors Beverage Co brewing complex in Milwaukee on Wednesday, killing five co-workers before he was found dead from an apparently self-inflicted gunshot wound, the city’s police chief said.",https://www.reuters.com/article/us-wisconsin-shooting/gunman-kills-five-co-workers-and-himself-in-molson-coors-brewery-shooting-in-milwaukee-idUSKCN20K37H?feedType=RSS&feedName=topNews,Reuters,gun control,center,Non-biased,Entirely factual,[],0
71,"A humanitarian ship that has had about 230 rescued migrants on board for almost a week will enter a Maltese port on Wednesday, ending a standoff with Italy which refused to let the ship dock.",https://www.reuters.com/article/us-europe-migrants-malta-lifeline/malta-to-allow-migrant-rescue-ship-to-dock-ending-standoff-idUSKBN1JN1TJ,Reuters,immigration,center,Non-biased,Entirely factual,[],0
72,"A Joe Biden presidency could reset ties with top U.S. trade partner Mexico that have suffered since Donald Trump made his first White House bid, tarring Mexican migrants as rapists and gun-runners and vowing to keep them out with a border wall.",https://www.reuters.com/article/us-usa-election-mexico/no-more-bullying-fresh-start-to-u-s-mexico-relations-eyed-under-biden-idUSKBN27N0NN,Reuters,gun control,center,Biased,Expresses writer’s opinion,['tarring'],1
73,"A key part of Warren’s revenue calculations to pay for her healthcare overhaul comes from a new tax on the wealthiest 1% of U.S. individuals, or a “wealth tax”.",https://www.reuters.com/article/us-election-warren-healthcare-exclusive/exclusive-economist-who-backed-warren-healthcare-plan-has-doubts-about-her-wealth-tax-idUSKBN1XI01T,Reuters,taxes,center,Non-biased,Entirely factual,[],0
75,A lawsuit percolating through the courts attempts to weigh the religious liberty of Orthodox Jews with a dire and compelling public health interest.,https://thefederalist.com/2019/04/19/new-york-city-good-legal-case-mandating-vaccines/,Federalist,vaccines,right,Biased,Somewhat factual but also opinionated,['dire'],1
76,A lawyer for Breonna Taylor’s family on Friday demanded Kentucky’s state attorney general release the evidence presented to a grand jury that decided against charging police officers with homicide in her death during a botched raid.,https://www.reuters.com/article/global-race-usa-louisville/lawyer-for-breonna-taylors-family-calls-for-release-of-grand-jury-evidence-idINKCN26G2L2,Reuters,black lives matter,center,Non-biased,Entirely factual,[],0
77,A leader of a movement that urges women to brag about having an abortion promoted the procedure to children in a video from Cut’s HiHo on the YouTube channel.,https://www.breitbart.com/politics/2019/01/01/watch-feminist-promotes-abortion-to-children/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,abortion,right,Biased,Somewhat factual but also opinionated,"['urges', 'brag']",1
78,A leading economist who vouched for Democratic presidential candidate Elizabeth Warren’s healthcare reform plan told Reuters on Thursday he doubts its staggering cost can be fully covered alongside her other government programs.,https://www.reuters.com/article/us-election-warren-healthcare-exclusive/exclusive-economist-who-backed-warren-healthcare-plan-has-doubts-about-her-wealth-tax-idUSKBN1XI01T,Reuters,universal health care,center,Non-biased,Entirely factual,[],0
79,"A leading U.S. group of cancer doctors is wary of new Trump administration proposals for lowering drug prices, particularly if new negotiation tools are introduced that will mean the U.S. government no longer routinely pays for all cancer drugs in the Medicare health program for older people.",https://www.reuters.com/article/us-health-cancer-asco/leading-oncology-group-wary-of-trump-drug-price-proposals-idUSKCN1IX3MP?utm_campaign=trueAnthem:+Trending+Content&utm_content=5b111b7f04d301069b81185d&utm_medium=trueAnthem&utm_source=twitter,Reuters,universal health care,center,Non-biased,Entirely factual,[],0
81,A majority of Americans do not agree with Democrats’ gun violence demagoguery. ,https://thefederalist.com/2019/02/21/facts-mass-shootings-support-gun-ownership-not-gun-control/?utm_source=The+Federalist+List&utm_campaign=e01eef4417-RSS_The_Federalist_Daily_Updates_w_Transom&utm_medium=email&utm_term=0_cfcb868ceb-e01eef4417-83843357,Federalist,gun-control,right,Biased,Expresses writer’s opinion,['demagoguery'],1
84,"A mix of militia members, Confederate followers and supporters of President Donald Trump faced off against more than a hundred left-wing protesters, some armed, many carrying signs or wearing T-shirts supporting Black Lives Matter.",https://www.reuters.com/article/us-global-race-protests-stone-mountain/right-wing-groups-clash-with-counter-protesters-in-several-u-s-states-idUSKCN25B116,Reuters,black lives matter,center,Non-biased,Entirely factual,[],0
85,"A Multnomah County, Oregon, court had charged Reinoehl with the murder of Aaron Danielson on Saturday, and Portland police issued a warrant for his arrest, asking U.S. marshals to locate him.",https://www.reuters.com/article/us-global-race-protests-portland/suspect-in-portland-shooting-killed-by-police-during-arrest-idUSKBN25V0G0,Reuters,black lives matter,center,Non-biased,Entirely factual,[],0
87,"A narrow plurality of Democrats favor allowing men who say they are transgender to enter women’s sports, but the change is opposed two-to-one by adults, independents, parents, and middle-class voters, says a poll by Rasmussen Reports.",https://www.breitbart.com/politics/2019/06/06/poll-public-opposes-male-transgenders-womens-sports-two-one/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,sport,right,Non-biased,Entirely factual,[],0
89,A new report reveals that the 2017 GOP tax law was rife with monumental self-dealing by rich GOP lawmakers who have since benefited bigly.,https://www.alternet.org/2020/01/follow-the-money-gop-senators-are-making-millions-off-trumps-tax-cuts-and-will-repay-him-by-betraying-their-oath/,Alternet,middle-class,left,Biased,Somewhat factual but also opinionated,['rich'],1
91,"A plan known as the Fairness for High-Skilled Immigrants Act is a boon to Silicon Valley billionaires, big business elites, and outsourcing firms, as they would be able to readily import more lower-paid Indian and Chinese foreign workers to take American jobs that would have otherwise gone to American citizens.",https://www.breitbart.com/politics/2019/02/11/billionaire-kochs-back-gop-dem-plan-to-outsource-middle-class-american-jobs-2/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,middle-class,right,Biased,Expresses writer’s opinion,['boon'],1
92,"A poll released Tuesday finds 75 percent of Americans want substantial restrictions on abortion, including 60 percent of Democrats and 61 percent of those who identify as “pro-choice.”",https://www.breitbart.com/politics/2019/01/15/poll-75-americans-say-abortion-should-be-restricted/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,abortion,right,Non-biased,Entirely factual,[],0
94,"A previous boom that saw gun sales double over a decade through 2016 corresponded largely with Democratic President Barack Obama’s time in office, when fears that gun control laws would be enacted drove gun aficionados to stock up.",https://www.reuters.com/article/us-usa-guns-sales/u-s-gun-sales-down-6-1-percent-in-2018-extending-trump-slump-idUSKCN1PN346?feedType=RSS&feedName=topNews,Reuters,gun-control,center,Biased,No agreement,['aficionados'],1
95,"A professor who teaches climate change classes — a subject some would question as a legitimate area of study — said she has seen students who suffer fear, grief, stress, and anxiety about the future.",https://www.breitbart.com/politics/2019/05/09/professor-climate-change-causes-anxiety-and-trumps-election-makes-it-worse/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,environment,right,Non-biased,No agreement,[],0
96,"A protester could be seen throwing an object at Frey as he slinked away. Biden, so far, has enjoyed the luxury of remaining in his basement, hidden away from volatile activists who want answers.",https://www.breitbart.com/2020-election/2020/06/07/joe-biden-declines-calls-defund-police/,Breitbart,elections-2020,right,Biased,Somewhat factual but also opinionated,"['slinked', 'volatile', 'luxury', 'away']",1
97,A pro-Trump political ad quotes Joe Biden directly and the lying liars at the lying PolitiFact still rate it “mostly false.”,http://feedproxy.google.com/~r/breitbart/~3/YBYa1vPA6fg/,Breitbart,taxes,right,Biased,Expresses writer’s opinion,"['lying', 'liars']",1
98,A push by Virginia Democrats to loosen restrictions on late-term abortions is erupting into a fierce partisan clash as video of a legislative hearing goes viral.,https://eu.usatoday.com/story/news/politics/2019/01/30/virginia-late-term-abortion-debate-loosen-restrictions-goes-viral/2723449002/,USA Today,abortion,center,Biased,Somewhat factual but also opinionated,"['clash', 'erupting']",1
99,"A quarter of Americans have little or no interest in taking a coronavirus vaccine, a Reuters/Ipsos poll published on Thursday found, with some voicing concern that the record pace at which vaccine candidates are being developed could compromise safety.",https://www.reuters.com/article/us-health-coronavirus-vaccine-poll-exclu/exclusive-a-quarter-of-americans-are-hesitant-about-a-coronavirus-vaccine-reuters-ipsos-poll-idUSKBN22X19G,Reuters,vaccines,center,Non-biased,Entirely factual,[],0
100,"A recent piece in The Wall Street Journal by Walter Russell Mead has caused a bit of a stir among the chattering classes. Headlined “The Coronavirus May Make Trump Stronger,” it argues that President Trump’s abysmal and malfeasant handling of the greatest public health emergency in a century is a feature, not a bug, in his quest for a second term.",https://feeds.feedblitz.com/~/620594714/0/alternet_all~How-a-Yale-professor-trolls-the-liberals-on-Trump%e2%80%99s-reelection-by-writing-propaganda-disguised-as-academic-analysis/,Alternet,universal health care,left,Biased,Somewhat factual but also opinionated,"['abysmal', 'malfeasant']",1
102,A recent study found that college students from high-income households are borrowing more money for school than students from households with lower incomes. The report added that students from wealthier families are responsible for some of the more drastic borrowing increases in recent years.,https://www.breitbart.com/tech/2019/12/06/report-wealthy-college-students-borrow-more-money-for-education/,Breitbart,student-debt,right,Non-biased,Entirely factual,['drastic'],0
103,"A reminder: The bill that Republicans in Tennessee are trying to quash would make these hygiene products tax-free for THREE DAYS, once a year!!!!",https://www.alternet.org/2020/02/tennessee-republican-fights-tax-free-tampon-bill-warning-people-may-buy-too-many-tampons/,Alternet,taxes,left,Biased,Somewhat factual but also opinionated,['quash'],1
104,"A report by the United Nations (UN) falsely blamed President Trump for the detention of 100,000 migrant children who, in fact, were held in federal immigration custody in 2015 by President Obama.",https://www.breitbart.com/politics/2019/11/19/united-nations-falsely-blames-trump-for-obama-detaining-100k-migrant-children-in-2015/?utm_source=feedburner&utm_medium=feed&utm_campaign=Feed%3A+breitbart+%28Breitbart+News%29,Breitbart,immigration,right,Non-biased,Entirely factual,[],0
106,A report in The New York Times claims that the UFC star Conor McGregor sexually assaulted a woman in Ireland.,https://www.huffpost.com/entry/ufc-conor-mcgregor-sexual-assault-investigation_n_5c9a7124e4b072a7f6008ff5,HuffPost,sport,left,Biased,Entirely factual,['claims'],1
108,A Republican group opposed to President Donald Trump is urging voters to end his “American carnage” by voting him out of office in November. And it’s using one of Trump’s favorite TV shows to spread the message.,https://www.huffpost.com/entry/republican-voters-against-trump-carnage_n_5ed73872c5b67913aa26c2ea,HuffPost,elections-2020,left,Non-biased,Entirely factual,[],0
110,A review of his posts in online message boards revealed he wanted to plant neo-Nazi propaganda inside Nevada middle and high schools.,https://eu.usatoday.com/story/news/nation/2020/02/10/white-supremacist-las-vegas-guilty-plea-conor-climo/4717616002/,USA Today,white-nationalism,center,Biased,Entirely factual,['plant'],1
111,"A second patient, a 58-year-old obese woman with diabetes and arterial hypertension, suffered multi-organ failure and eventually died of a cardiac arrest. According to the authors of the Lancet article, they discovered “lymphocytic endotheliitis in lung, heart, kidney, and liver as well as liver cell necrosis.",https://www.alternet.org/2020/06/new-study-helps-unravel-the-mystery-behind-the-coronaviruss-baffling-symptoms/,Alternet,coronavirus,left,Non-biased,Entirely factual,[],0
112,A senior Democrat on a congressional panel seeking President Donald Trump’s tax returns warned on Saturday that the current Congress may not see the long-sought tax documents without launching an impeachment inquiry.,https://www.reuters.com/article/us-usa-trump-congress-taxes/house-democrat-says-current-congress-may-not-see-trump-taxes-idUSKCN1TG0ME?feedType=RSS&feedName=topNews,Reuters,taxes,center,Non-biased,Entirely factual,[],0
114,"A sharp drop in temperatures and wind speed, combined with vehicle and industrial emissions, dust from building sites and smoke from garbage burning has boosted pollution over much of north India, including New Delhi, home to more than 20 million.",https://www.reuters.com/article/us-india-pollution/toxic-smog-shrouds-indian-capital-as-pollution-soars-government-measures-fail-idUSKCN1OX0K9,Reuters,environment,center,Non-biased,Entirely factual,[],0
115,"A shocking new study says that the ice in the Arctic Ocean will disappear by 2050, which could have ""substantial"" implications on the ecosystem and the climate in the region.",https://www.foxnews.com/science/arctic-ocean-ice-free-summers-next-30-years,Fox News,environment,right,Non-biased,Entirely factual,['shocking'],0
116,A slew of other world leaders and senior officials lined up to express their dismay over what they said was Trump's willingness to hamper the WHO just when the world needs it the most.,https://www.nbcnews.com/news/world/global-criticism-grows-trump-move-end-who-funding-amid-pandemic-n1184146,MSNBC,coronavirus,left,Non-biased,Entirely factual,[],0
117,A small group of Black teenage girls carrying megaphones stood in front of the federal courthouse in downtown Portland near midnight on Thursday facing a largely white band of protesters.,https://www.reuters.com/article/us-global-race-protests-portland-activis/in-portland-some-black-activists-frustrated-with-white-protesters-idUSKCN24W2QD?il=0,Reuters,black lives matter,center,Non-biased,Entirely factual,[],0
118,A solid majority of student loan borrowers in a recent survey said they would trade their 2020 vote for debt forgiveness.,https://www.breitbart.com/politics/2020/01/15/survey-62-percent-of-respondents-would-give-up-2020-vote-to-get-student-debt-forgiven/,Breitbart,student-debt,right,Non-biased,Entirely factual,[],0
119,A specter is haunting the West; our elites see intolerant authoritarianism—along with a plethora of related “-phobias” and “-isms”—everywhere.,https://thefederalist.com/2019/11/08/nationalism-populism-and-saving-ourselves-from-a-dark-future/,Federalist,white-nationalism,right,Biased,Expresses writer’s opinion,"['specter', 'haunting']",1
